Vörös János	Magyar Leszámítoló és Pénzváltó Bank	Szakács	j.voros@indamail.hu	(20) 739-4059
Balogh Januáriusz	Kanizsa Trend Kft.	Egyéb növénytermesztési és kertészeti foglalkozások	januariusz.balogh@gmail.com	(20) 685-2286
Pál Letícia	Salgótarjáni Öblösüveggyár	Egyéb funkcionális részegységek vezetői	pal.leticia@gmail.com	(20) 422-7954
Bognár Csanád	Rimai Coalitio	Bolti pénztáros	bognar.csanad@freemail.hu	(70) 126-1342
Katona Taksony	K&H Bank	Területi közig., igazságszolg. közép vezetője	taksony_katona@vipmail.hu	(70) 668-3833
Antal Ilona	Genesis Energy Nyrt.	Kereskedelmi részegység vezetője	antal.ilona@hotmail.com	(20) 346-3148
Barta Kristóf	NIK Központi Autótervező Iroda	Cipész, cipőkészítő, -javító	k.barta@gmail.com	(30) 618-9109
Orbán Anasztáz	HEINEKEN Hungária Sörgyárak Zrt.	Középfokú oktatási intézmény szakoktatója	anasztaz.orban@yahoo.com	(20) 470-1547
Kis Alex	Pécsi Dohánygyár	Vájár, segédvájár	kis_alex@gmail.com	(30) 356-1144
Nagy Aletta	Toti Sport	Bolti pénztáros	a.nagy@yahoo.com	(70) 194-8179
Nemes Eulália	Digic Pictures	Fegyveres erők felsőfokú foglalkozásai	eulalia_nemes@gmail.com	(20) 907-7812
Bakos Emil	Moskovits Sámuel vasöntödéje és gépgyára	Szállító- és rakodómunkás	bakos.emil@freemail.hu	(30) 614-7177
Kis Diána	Concorde Csoport	Egyéb műszaki foglalkozások	diana_kis@mailbox.hu	(20) 425-8210
Nagy Kelemen	Concorde Csoport	Egyéb szakképzett oktatók, nevelők	k.nagy@freemail.hu	(20) 549-3060
Horváth Margit	InfoRádió	Bútorasztalos	margit.horvath@hotmail.com	(70) 531-6569
Kiss Dénes	Goodwill Communications	Fegyveres erők felsőfokú foglalkozásai	denes_kiss@hotmail.com	(30) 587-8352
Szűcs Andrea	Offset és Játékkártya Nyomda Zrt.	Egyéb műszaki foglalkozások	andrea.szucs@freemail.hu	(70) 218-2486
Kocsis Krisztina	Dunai Vasmű	Szociális munkás	kocsis.krisztina@gmail.com	(30) 582-3853
Vincze János	Első Magyar Cérnagyár	Minőségi, műszaki, biztonsági ellenőr	vincze_janos@freemail.hu	(20) 107-4404
Hegedűs György	Cartographia	Általános orvos	gyorgy_hegedus@freemail.hu	(30) 653-4082
Molnár Jenő	Első Nemzeti Közműszolgáltató	Szövő	jeno.molnar@citromail.hu	(20) 459-4843
Sándor Apor	Nézőpont Intézet	Mosónő, vasalónő	sandor.apor@freemail.hu	(70) 995-1103
Halász Rozália	Merck	Hegesztő, lángvágó	rozalia.halasz@gmail.com	(20) 766-7351
Balla Ibolya	Centrum Áruházak	Kazángépkezelő (vizsgázott kazánfűtő)	balla.ibolya@gmail.com	(20) 925-4219
Szabó Virgínia	Raiffeisen Bank (Magyarország)	Felsőfokú tanintézeti tanár, oktató	v.szabo@yahoo.com	(20) 915-5028
Fekete Ferenc	Vidanet	Óvónő	fekete.ferenc@gmail.com	(30) 976-6445
Hegedűs Benedek	Index (internetes újság)	Számviteli és pénzügyi részegység vezetője	benedek_hegedus@freemail.hu	(30) 682-1804
Fodor Magdolna	Zoltán Hugó és Társa	Egyéb pedagógusok	magdolna_fodor@vipmail.hu	(20) 751-8304
Szűcs Gusztáv	T-Mobile (Magyar Telekom Csoport)	Mechanikai műszerész	szucs_gusztav@vipmail.hu	(20) 213-1955
Németh Taksony	Kner nyomda	Pénzügyi ügyintéző	t.nemeth@hotmail.com	(20) 626-9632
Magyar Teodóra	Hajós- és Szántó Elektromos Gyára Rt.	Vegyészmérnök	t.magyar@upc.hu	(30) 634-9864
Király Édua	HospInvest Zrt.	Oktatási részegység vezetője	edua.kiraly@hotmail.com	(30) 569-2536
Antal Félix	Virtual Call Center Solutions Zrt.	Középiskolai tanár, oktató	felix.antal@vipmail.hu	(70) 843-4487
Pintér Kartal	Pick Szeged Zrt.	Kereskedelmi részegység vezetője	pinter.kartal@yahoo.com	(30) 411-8240
Budai Frigyes	Magyar Turizmus Zrt.	Nehézföldmunkagép-kezelő	budai_frigyes@vipmail.hu	(70) 438-5219
Vincze Vazul	HospInvest Zrt.	Fegyveres erők felsőfokú foglalkozásai	vincze.vazul@gmail.com	(20) 159-6994
Farkas Damján	Raiffeisen Bank (Magyarország)	Egyéb termelői, szolg. részegységek vezetői	d.farkas@indamail.hu	(30) 670-2868
Sándor Xénia	Kinizsi Bank	Egészségügyi és szoc. szolg. részegység vezetője	xenia.sandor@freemail.hu	(70) 718-7929
Varga Viola	Elektronikus Mérőkészülékek Gyára (Sashalom)	Ügyvéd	v.varga@gmail.com	(30) 132-3593
Dudás Edgár	Minimal Art Family	Újságíró	edgar_dudas@gmail.com	(20) 391-8580
Horváth Hilária	Hungarotex	Fodrász, borbély	h.horvath@freemail.hu	(30) 712-4304
Kiss Lőrinc	Toti Sport	Általános orvos	kiss_lorinc@freemail.hu	(30) 939-2149
Barna Valter	Bárdi Autó Zrt.	Felszolgáló, vendéglátóipari eladó	barna_valter@vipmail.hu	(30) 476-6957
